ticker,cap,country,industry,financial_currency,currency
COTY,large,United States,Household & Personal Products,USD,USD
AFXA.F,large,Germany,Medical Instruments & Supplies,EUR,EUR
DINO,large,United States,Oil & Gas Refining & Marketing,USD,USD
KOG.OL,large,Norway,Aerospace & Defense,NOK,NOK
AFRM,large,United States,Software - Infrastructure,USD,USD
2503.T,large,Japan,Beverages - Brewers,JPY,JPY
CASY,large,United States,Specialty Retail,USD,USD
UTHR,large,United States,Biotechnology,USD,USD
SRPT,large,United States,Biotechnology,USD,USD
PCOR,large,United States,Software - Application,USD,USD
NIBE-B.ST,large,Sweden,Building Products & Equipment,SEK,SEK
2885.TW,large,Taiwan,Financial Conglomerates,TWD,TWD
WYNN,large,United States,Resorts & Casinos,USD,USD
SK3.IR,large,Ireland,Packaging & Containers,EUR,EUR
BAER.SW,large,Switzerland,Asset Management,CHF,CHF
Q0F.SI,large,Malaysia,Medical Care Facilities,MYR,SGD
RRX,large,United States,Specialty Industrial Machinery,USD,USD
HEROMOTOCO.NS,large,India,Auto Manufacturers,INR,INR
RDOR3.SA,large,Brazil,Medical Care Facilities,BRL,BRL
JDEP.AS,large,Netherlands,Packaged Foods,EUR,EUR
FFIV,large,United States,Software - Infrastructure,USD,USD
003550.KS,large,South Korea,Consumer Electronics,KRW,KRW
4911.T,large,Japan,Household & Personal Products,JPY,JPY
HTHT,large,China,Lodging,CNY,USD
0836.HK,large,Hong Kong,Utilities - Independent Power Producers,HKD,HKD
EQH,large,United States,Insurance - Diversified,USD,USD
RGEN,large,United States,Medical Instruments & Supplies,USD,USD
HLMA.L,large,United Kingdom,Conglomerates,GBP,GBP
SHRIRAMFIN.NS,large,India,Credit Services,INR,INR
ACS.MC,large,Spain,Engineering & Construction,EUR,EUR
ALLY,large,United States,Credit Services,USD,USD
IDBI.NS,large,India,Banks - Regional,INR,INR
DIE.BR,large,Belgium,Auto & Truck Dealerships,EUR,EUR
SCG.AX,large,Australia,REIT - Retail,AUD,AUD
NEM.F,large,Germany,Software - Application,EUR,EUR
FIX,large,United States,Engineering & Construction,USD,USD
9107.T,large,Japan,Marine Shipping,JPY,JPY
PEO.WA,large,Poland,Banks - Regional,PLN,PLN
SCI,large,United States,Personal Services,USD,USD
CHOLAFIN.NS,large,India,Credit Services,INR,INR
RIVN,large,United States,Auto Manufacturers,USD,USD
601336.SS,large,China,Insurance - Life,CNY,CNY
RENT3.SA,large,Brazil,Rental & Leasing Services,BRL,BRL
FGR.PA,large,France,Engineering & Construction,EUR,EUR
TWLO,large,United States,Internet Content & Information,USD,USD
DOCU,large,United States,Software - Application,USD,USD
CYBR,large,Israel,Software - Infrastructure,USD,USD
NST.AX,large,Australia,Gold,AUD,AUD
NHPC.NS,large,India,Utilities - Renewable,INR,INR
INW.MI,large,Italy,Real Estate Services,EUR,EUR
SBS,large,Brazil,Utilities - Regulated Water,BRL,USD
TORNTPHARM.NS,large,India,Drug Manufacturers - Specialty & Generic,INR,INR
AC.PA,large,France,Lodging,EUR,EUR
2357.TW,large,Taiwan,Computer Hardware,TWD,TWD
PSHZF,large,United States,N/A,USD,USD
SAAB-B.ST,large,Sweden,Aerospace & Defense,SEK,SEK
NTRA,large,United States,Diagnostics & Research,USD,USD
EWBC,large,United States,Banks - Regional,USD,USD
MNDY,large,Israel,Software - Application,USD,USD
AFG,large,United States,Insurance - Property & Casualty,USD,USD
001979.SZ,large,China,Real Estate - Development,CNY,CNY
3008.TW,large,Taiwan,Electronic Components,TWD,TWD
2395.TW,large,Taiwan,Computer Hardware,TWD,TWD
WING,large,United States,Restaurants,USD,USD
DOX,large,United States,Software - Infrastructure,USD,USD
SHREECEM.NS,large,India,Building Materials,INR,INR
0175.HK,large,Hong Kong,Auto Manufacturers,CNY,HKD
300014.SZ,large,China,Electrical Equipment & Parts,CNY,CNY
TPR,large,United States,Luxury Goods,USD,USD
CHK,large,United States,Oil & Gas E&P,USD,USD
NHY.OL,large,Norway,Aluminum,NOK,NOK
ESTC,large,Netherlands,Software - Application,USD,USD
URW.PA,large,France,REIT - Retail,EUR,EUR
6947.KL,large,Malaysia,Telecom Services,MYR,MYR
SCB.BK,large,Thailand,Banks - Regional,THB,THB
8601.T,large,Japan,Capital Markets,JPY,JPY
X,large,United States,Steel,USD,USD
EXAS,large,United States,Diagnostics & Research,USD,USD
TFX,large,United States,Medical Instruments & Supplies,USD,USD
7259.T,large,Japan,Auto Parts,JPY,JPY
MRO.L,large,United Kingdom,Specialty Industrial Machinery,GBP,GBP
0019.HK,large,Hong Kong,Conglomerates,HKD,HKD
CPT,large,United States,REIT - Residential,USD,USD
0004.HK,large,Hong Kong,Real Estate - Development,HKD,HKD
5411.T,large,Japan,Steel,JPY,JPY
3231.TW,large,Taiwan,Computer Hardware,TWD,TWD
BOSCHLTD.NS,large,India,Auto Parts,INR,INR
ARX.TO,large,Canada,Oil & Gas E&P,CAD,CAD
APOLLOHOSP.NS,large,India,Medical Care Facilities,INR,INR
ITT,large,United States,Specialty Industrial Machinery,USD,USD
ENELAM.SN,large,Chile,Utilities - Regulated Electric,USD,CLP
EMN,large,United States,Specialty Chemicals,USD,USD
UWMC,large,United States,Mortgage Finance,USD,USD
DNP.WA,large,Poland,Grocery Stores,PLN,PLN
MANKIND.NS,large,India,Drug Manufacturers - Specialty & Generic,INR,INR
U,large,United States,Software - Application,USD,USD
CLF,large,United States,Steel,USD,USD
TREX,large,United States,Building Products & Equipment,USD,USD
7202.T,large,Japan,Auto Manufacturers,JPY,JPY
MOS,large,United States,Agricultural Inputs,USD,USD
4151.T,large,Japan,Drug Manufacturers - General,JPY,JPY
CFLT,large,United States,Software - Infrastructure,USD,USD
5871.TW,large,Taiwan,Credit Services,TWD,TWD
TUPRS.IS,large,Turkey,Oil & Gas Refining & Marketing,TRY,TRY
9021.T,large,Japan,Railroads,JPY,JPY
AEG,large,Netherlands,Insurance - Diversified,EUR,USD
JINDALSTEL.NS,large,India,Steel,INR,INR
BCVN.SW,large,Switzerland,Banks - Regional,CHF,CHF
PZU.WA,large,Poland,Insurance - Property & Casualty,PLN,PLN
ADM.L,large,United Kingdom,Insurance - Property & Casualty,GBP,GBP
